Timestamp,Temp_mC,Freq_kHz
2026-03-21 19:48:38,49000,1950926
2026-03-21 19:48:43,65000,2892703
2026-03-21 19:48:48,68000,2893448
2026-03-21 19:48:53,68000,2893443
2026-03-21 19:48:58,70000,2893448
2026-03-21 19:49:03,72000,2893449
2026-03-21 19:49:09,71000,2893448
2026-03-21 19:49:14,71000,2893446
2026-03-21 19:49:19,72000,2893448
2026-03-21 19:49:24,72000,2893447
2026-03-21 19:49:29,73000,2893447
2026-03-21 19:49:34,72000,2893448
2026-03-21 19:49:39,72000,2832312
2026-03-21 19:49:44,73000,2893447
2026-03-21 19:49:49,71000,2893447
2026-03-21 19:49:54,72000,3168526
2026-03-21 19:49:59,75000,2672506
2026-03-21 19:50:05,75000,2893448
2026-03-21 19:50:10,75000,2893449
2026-03-21 19:50:15,75000,2893441
2026-03-21 19:50:20,75000,2893446
2026-03-21 19:50:25,75000,2893448
2026-03-21 19:50:30,71000,2394578
2026-03-21 19:50:35,70000,2394578
2026-03-21 19:50:40,70000,2394577
2026-03-21 19:50:45,70000,2412756
2026-03-21 19:50:50,70000,2394568
2026-03-21 19:50:56,69000,2394575
2026-03-21 19:51:01,70000,2539471
2026-03-21 19:51:06,69000,2893449
2026-03-21 19:51:11,70000,2893434
2026-03-21 19:51:16,70000,2394566
2026-03-21 19:51:21,69000,2394578
2026-03-21 19:51:26,70000,2394577
2026-03-21 19:51:31,70000,2394577
2026-03-21 19:51:36,70000,2394566
2026-03-21 19:51:41,70000,2394577
2026-03-21 19:51:47,68000,2394577
2026-03-21 19:51:52,69000,2394577
2026-03-21 19:51:57,68000,2394577
2026-03-21 19:52:02,69000,2394577
2026-03-21 19:52:07,68000,2394577
2026-03-21 19:52:12,68000,2394577
2026-03-21 19:52:17,66000,2841820
2026-03-21 19:52:22,72000,2775716
2026-03-21 19:52:27,72000,2851095
2026-03-21 19:52:32,73000,2893448
2026-03-21 19:52:38,73000,2893446
2026-03-21 19:52:43,74000,2893447
2026-03-21 19:52:48,74000,2893448
2026-03-21 19:52:53,75000,2893448
2026-03-21 19:52:58,73000,2839879
2026-03-21 19:53:03,73000,2840320
2026-03-21 19:53:08,74000,2893448
2026-03-21 19:53:13,73000,2893447
2026-03-21 19:53:18,74000,2887925
2026-03-21 19:53:23,74000,2893447
2026-03-21 19:53:28,75000,2893447
2026-03-21 19:53:34,75000,2893447
2026-03-21 19:53:39,75000,2893447
2026-03-21 19:53:44,75000,2893448
2026-03-21 19:53:49,74000,2893447
2026-03-21 19:53:54,73000,2878295
2026-03-21 19:53:59,73000,2876613
2026-03-21 19:54:04,76000,2893442
2026-03-21 19:54:09,75000,2893448
2026-03-21 19:54:14,74000,2865032
2026-03-21 19:54:19,75000,2893446
2026-03-21 19:54:24,75000,2893448
2026-03-21 19:54:30,76000,2893447
2026-03-21 19:54:35,75000,2893447
2026-03-21 19:54:40,76000,2893447
2026-03-21 19:54:45,75000,2893447
2026-03-21 19:54:50,75000,2893447
2026-03-21 19:54:55,75000,2893445
2026-03-21 19:55:00,73000,2893447
2026-03-21 19:55:05,73000,2893446
2026-03-21 19:55:10,74000,2878902
2026-03-21 19:55:16,73000,2893448
2026-03-21 19:55:21,74000,2893448
2026-03-21 19:55:26,75000,2860585
2026-03-21 19:55:31,75000,2893447
2026-03-21 19:55:36,77000,2893447
2026-03-21 19:55:41,75000,2893448
2026-03-21 19:55:46,74000,2791992
2026-03-21 19:55:51,75000,2893447
2026-03-21 19:55:56,77000,2893447
2026-03-21 19:56:01,78000,2893447
2026-03-21 19:56:07,78000,2893447
2026-03-21 19:56:12,77000,2893447
2026-03-21 19:56:17,78000,2893445
2026-03-21 19:56:22,79000,2893448
2026-03-21 19:56:27,79000,2893448
2026-03-21 19:56:32,78000,2858131
2026-03-21 19:56:37,76000,2893448
2026-03-21 19:56:42,73000,2893448
2026-03-21 19:56:47,72000,2114989
2026-03-21 19:56:52,75000,2893447
2026-03-21 19:56:57,74000,2868758
2026-03-21 19:57:03,75000,2893448
2026-03-21 19:57:08,75000,2893448
2026-03-21 19:57:13,75000,2891219
2026-03-21 19:57:18,75000,2893447
2026-03-21 19:57:23,75000,2813888
2026-03-21 19:57:28,74000,2889289
2026-03-21 19:57:33,73000,2893447
2026-03-21 19:57:38,73000,2893447
2026-03-21 19:57:43,70000,2893447
2026-03-21 19:57:48,72000,2893447
2026-03-21 19:57:54,71000,2893448
2026-03-21 19:57:59,73000,2625460
2026-03-21 19:58:04,75000,2893449
2026-03-21 19:58:09,75000,2893448
2026-03-21 19:58:14,75000,2893450
2026-03-21 19:58:19,74000,2893449
2026-03-21 19:58:24,71000,2893449
2026-03-21 19:58:29,72000,2893448
2026-03-21 19:58:34,73000,2640164
2026-03-21 19:58:39,72000,2893447
2026-03-21 19:58:44,73000,2893446
2026-03-21 19:58:50,73000,2893448
2026-03-21 19:58:55,73000,2893447
2026-03-21 19:59:00,73000,2893449
2026-03-21 19:59:05,73000,2893437
2026-03-21 19:59:10,73000,2893449
2026-03-21 19:59:15,70000,2893447
2026-03-21 19:59:20,72000,2828938
2026-03-21 19:59:25,73000,2874299
2026-03-21 19:59:30,74000,2893448
2026-03-21 19:59:35,68000,2394577
2026-03-21 19:59:40,69000,2394577
2026-03-21 19:59:46,68000,2394577
2026-03-21 19:59:51,69000,2394576
2026-03-21 19:59:56,67000,2394577
2026-03-21 20:00:01,67000,2394576
2026-03-21 20:00:06,67000,2394577
2026-03-21 20:00:11,68000,2394577
2026-03-21 20:00:16,68000,2394577
2026-03-21 20:00:21,66000,2889213
2026-03-21 20:00:26,67000,2394578
2026-03-21 20:00:31,67000,2394577
2026-03-21 20:00:36,69000,2394577
2026-03-21 20:00:42,68000,2394576
2026-03-21 20:00:47,67000,2394578
2026-03-21 20:00:52,69000,2394577
2026-03-21 20:00:57,69000,2394577
2026-03-21 20:01:02,69000,2394577
2026-03-21 20:01:07,68000,2836172
2026-03-21 20:01:12,68000,2394577
2026-03-21 20:01:17,66000,2394577
2026-03-21 20:01:22,65000,2893448
2026-03-21 20:01:27,70000,2788681
2026-03-21 20:01:33,71000,1433471
2026-03-21 20:01:38,71000,2547707
2026-03-21 20:01:43,74000,2893447
2026-03-21 20:01:48,74000,2893448
2026-03-21 20:01:53,74000,2893448
2026-03-21 20:01:58,75000,2890441
2026-03-21 20:02:03,74000,2833088
2026-03-21 20:02:08,73000,2660857
2026-03-21 20:02:13,73000,2737694
2026-03-21 20:02:18,74000,2893447
2026-03-21 20:02:23,75000,2806037
2026-03-21 20:02:28,74000,2798944
2026-03-21 20:02:33,75000,2893448
2026-03-21 20:02:39,76000,2893447
2026-03-21 20:02:44,76000,2893448
2026-03-21 20:02:49,76000,2893446
2026-03-21 20:02:54,75000,2893448
2026-03-21 20:02:59,73000,2888976
2026-03-21 20:03:04,74000,1538756
2026-03-21 20:03:09,76000,2893448
2026-03-21 20:03:14,76000,2893449
2026-03-21 20:03:19,75000,2852053
2026-03-21 20:03:24,75000,2749114
2026-03-21 20:03:29,77000,2893447
2026-03-21 20:03:34,77000,2893448
2026-03-21 20:03:40,77000,2893447
2026-03-21 20:03:45,76000,2893447
2026-03-21 20:03:50,76000,2893444
2026-03-21 20:03:55,75000,2781954
2026-03-21 20:04:00,75000,2893444
2026-03-21 20:04:05,71000,2893447
2026-03-21 20:04:10,72000,2542480
2026-03-21 20:04:15,74000,2893448
2026-03-21 20:04:20,75000,2852102
2026-03-21 20:04:25,77000,2893453
2026-03-21 20:04:30,76000,2893446
2026-03-21 20:04:35,76000,2893447
2026-03-21 20:04:41,76000,2893447
2026-03-21 20:04:46,76000,2851429
2026-03-21 20:04:51,74000,2806345
2026-03-21 20:04:56,73000,2527846
2026-03-21 20:05:01,75000,2893437
2026-03-21 20:05:06,76000,2888051
2026-03-21 20:05:11,76000,2893447
2026-03-21 20:05:16,77000,2893447
