Timestamp,Temp_mC,Freq_kHz
2026-06-16 13:13:15,40000,3226372
2026-06-16 13:13:20,49000,3200000
2026-06-16 13:13:25,51000,3200000
2026-06-16 13:13:30,53000,3200001
2026-06-16 13:13:36,53000,3200005
2026-06-16 13:13:41,55000,3199979
2026-06-16 13:13:46,56000,3200001
2026-06-16 13:13:51,56000,3200000
2026-06-16 13:13:56,57000,3200000
2026-06-16 13:14:01,57000,3199998
2026-06-16 13:14:06,57000,3200000
2026-06-16 13:14:11,57000,3199998
2026-06-16 13:14:16,57000,3200011
2026-06-16 13:14:22,57000,3200001
2026-06-16 13:14:27,57000,3200000
2026-06-16 13:14:32,56000,3213089
2026-06-16 13:14:37,57000,3200207
2026-06-16 13:14:42,58000,3200001
2026-06-16 13:14:47,58000,3200004
2026-06-16 13:14:52,58000,3200002
2026-06-16 13:14:57,58000,3200000
2026-06-16 13:15:02,58000,3200000
2026-06-16 13:15:07,58000,3200029
2026-06-16 13:15:12,58000,3200000
2026-06-16 13:15:18,58000,3200001
2026-06-16 13:15:23,59000,3200000
2026-06-16 13:15:28,59000,3200000
2026-06-16 13:15:33,58000,3200000
2026-06-16 13:15:38,58000,3200000
2026-06-16 13:15:43,57000,3200003
2026-06-16 13:15:48,56000,3844888
2026-06-16 13:15:53,59000,3200000
2026-06-16 13:15:58,58000,3200001
2026-06-16 13:16:04,58000,3200010
2026-06-16 13:16:09,58000,3200000
2026-06-16 13:16:14,58000,3200001
2026-06-16 13:16:19,58000,3200004
2026-06-16 13:16:24,58000,3200000
2026-06-16 13:16:29,58000,3199998
2026-06-16 13:16:34,58000,3200000
2026-06-16 13:16:39,58000,3200000
2026-06-16 13:16:44,58000,3200000
2026-06-16 13:16:50,58000,3200000
2026-06-16 13:16:55,57000,3200000
2026-06-16 13:17:00,56000,3194989
2026-06-16 13:17:05,57000,3199998
2026-06-16 13:17:10,57000,3199998
2026-06-16 13:17:15,57000,3200004
2026-06-16 13:17:20,58000,3200000
2026-06-16 13:17:25,58000,3200000
2026-06-16 13:17:30,58000,3200000
2026-06-16 13:17:35,58000,3199998
2026-06-16 13:17:40,58000,3200000
2026-06-16 13:17:45,58000,3199998
2026-06-16 13:17:51,58000,3191438
2026-06-16 13:17:56,57000,3200000
2026-06-16 13:18:01,58000,3200000
2026-06-16 13:18:06,58000,3200001
2026-06-16 13:18:11,57000,3200000
2026-06-16 13:18:16,58000,3200000
2026-06-16 13:18:21,58000,3200001
2026-06-16 13:18:26,58000,3200000
2026-06-16 13:18:31,58000,3200001
2026-06-16 13:18:37,57000,3200000
2026-06-16 13:18:42,56000,3199894
2026-06-16 13:18:47,55000,3192308
2026-06-16 13:18:52,54000,3200111
2026-06-16 13:18:57,56000,3199615
2026-06-16 13:19:02,56000,3199813
2026-06-16 13:19:07,55000,3198300
2026-06-16 13:19:12,55000,3200008
2026-06-16 13:19:17,55000,3199998
2026-06-16 13:19:22,55000,3200002
2026-06-16 13:19:27,55000,3199776
2026-06-16 13:19:32,55000,3200000
2026-06-16 13:19:37,57000,3200000
2026-06-16 13:19:42,56000,3200001
2026-06-16 13:19:47,58000,3200000
2026-06-16 13:19:52,58000,3200000
2026-06-16 13:19:58,57000,3200000
2026-06-16 13:20:03,57000,3199998
2026-06-16 13:20:08,57000,3200000
2026-06-16 13:20:13,56000,3221479
2026-06-16 13:20:18,59000,3199685
2026-06-16 13:20:23,58000,3200001
2026-06-16 13:20:28,58000,3199998
2026-06-16 13:20:33,58000,3200001
2026-06-16 13:20:38,59000,3199998
2026-06-16 13:20:43,58000,3199998
2026-06-16 13:20:48,59000,3200000
2026-06-16 13:20:54,59000,3200000
2026-06-16 13:20:59,59000,3200000
2026-06-16 13:21:04,58000,3200000
2026-06-16 13:21:09,58000,3200017
2026-06-16 13:21:14,59000,3200013
2026-06-16 13:21:19,59000,3200000
2026-06-16 13:21:24,59000,3200000
2026-06-16 13:21:29,59000,3200000
2026-06-16 13:21:34,59000,3200000
2026-06-16 13:21:40,59000,3200000
2026-06-16 13:21:45,59000,3200001
2026-06-16 13:21:50,59000,3200001
2026-06-16 13:21:55,59000,3200005
2026-06-16 13:22:00,58000,3200000
2026-06-16 13:22:05,59000,3200003
2026-06-16 13:22:10,59000,3200000
2026-06-16 13:22:15,59000,3200000
2026-06-16 13:22:20,59000,3200000
2026-06-16 13:22:26,58000,3198969
2026-06-16 13:22:31,58000,3198093
2026-06-16 13:22:36,57000,3270834
2026-06-16 13:22:41,60000,3200000
2026-06-16 13:22:46,60000,3200000
2026-06-16 13:22:51,60000,3200000
2026-06-16 13:22:56,60000,3199953
2026-06-16 13:23:01,60000,3200000
2026-06-16 13:23:06,59000,3200000
2026-06-16 13:23:11,60000,3200021
2026-06-16 13:23:16,60000,3200000
2026-06-16 13:23:22,60000,3200001
2026-06-16 13:23:27,59000,3200000
2026-06-16 13:23:32,59000,3200001
2026-06-16 13:23:37,59000,3200000
2026-06-16 13:23:42,59000,3199998
2026-06-16 13:23:47,59000,3200001
2026-06-16 13:23:52,59000,3200000
2026-06-16 13:23:57,59000,3200001
2026-06-16 13:24:02,58000,3200000
2026-06-16 13:24:07,58000,3200002
