Timestamp,Temp_mC,Freq_kHz
2026-07-30 17:08:21,45000,3400670
2026-07-30 17:08:26,51000,3200000
2026-07-30 17:08:31,52000,3200001
2026-07-30 17:08:36,55000,3200000
2026-07-30 17:08:41,54000,3200000
2026-07-30 17:08:46,54000,3200009
2026-07-30 17:08:51,52000,3204047
2026-07-30 17:08:56,54000,3200001
2026-07-30 17:09:02,53000,3200002
2026-07-30 17:09:07,52000,3200000
2026-07-30 17:09:12,52000,3200000
2026-07-30 17:09:17,52000,3199997
2026-07-30 17:09:22,53000,3200753
2026-07-30 17:09:27,53000,3200001
2026-07-30 17:09:32,52000,3200002
2026-07-30 17:09:37,53000,3199812
2026-07-30 17:09:42,53000,3200000
2026-07-30 17:09:47,53000,3200002
2026-07-30 17:09:52,52000,3200000
2026-07-30 17:09:57,52000,3200000
2026-07-30 17:10:02,52000,3200000
2026-07-30 17:10:07,52000,3200000
2026-07-30 17:10:13,54000,3200001
2026-07-30 17:10:18,54000,3200000
2026-07-30 17:10:23,55000,3200001
2026-07-30 17:10:28,55000,3200000
2026-07-30 17:10:33,55000,3199943
2026-07-30 17:10:38,56000,3200000
2026-07-30 17:10:43,56000,3200026
2026-07-30 17:10:48,55000,3200000
2026-07-30 17:10:53,55000,3144272
2026-07-30 17:10:58,54000,3295683
2026-07-30 17:11:03,58000,3197722
2026-07-30 17:11:08,55000,3199998
2026-07-30 17:11:14,57000,3199998
2026-07-30 17:11:19,55000,3200000
2026-07-30 17:11:24,55000,3200000
2026-07-30 17:11:29,56000,3200003
2026-07-30 17:11:34,56000,3200000
2026-07-30 17:11:39,56000,3200000
2026-07-30 17:11:44,56000,3200000
2026-07-30 17:11:49,56000,3200000
2026-07-30 17:11:54,56000,3200000
2026-07-30 17:12:00,55000,3200000
2026-07-30 17:12:05,55000,3200000
2026-07-30 17:12:10,54000,3200001
2026-07-30 17:12:15,54000,3329323
2026-07-30 17:12:20,55000,3200000
2026-07-30 17:12:25,55000,3199981
2026-07-30 17:12:30,57000,3199998
2026-07-30 17:12:35,57000,3199967
2026-07-30 17:12:40,57000,3200000
2026-07-30 17:12:45,57000,3199960
2026-07-30 17:12:50,57000,3200001
2026-07-30 17:12:55,53000,3200074
2026-07-30 17:13:00,54000,3200000
2026-07-30 17:13:06,51000,3999053
2026-07-30 17:13:11,53000,3200000
2026-07-30 17:13:16,50000,3867111
2026-07-30 17:13:21,52000,3200001
2026-07-30 17:13:26,48000,3200000
2026-07-30 17:13:31,50000,3966351
2026-07-30 17:13:36,49000,3199998
2026-07-30 17:13:41,50000,3957070
2026-07-30 17:13:46,54000,3200000
2026-07-30 17:13:51,54000,3200000
2026-07-30 17:13:56,56000,3200000
2026-07-30 17:14:01,56000,3200001
2026-07-30 17:14:07,56000,3200000
2026-07-30 17:14:12,54000,3208222
2026-07-30 17:14:17,54000,3199988
2026-07-30 17:14:22,54000,3200000
2026-07-30 17:14:27,52000,3199987
2026-07-30 17:14:32,54000,3200000
2026-07-30 17:14:37,52000,3248221
2026-07-30 17:14:42,53000,3200000
2026-07-30 17:14:47,51000,3200004
2026-07-30 17:14:52,54000,3341862
2026-07-30 17:14:57,54000,3200037
2026-07-30 17:15:02,55000,3199998
2026-07-30 17:15:07,54000,3212714
2026-07-30 17:15:12,56000,3196591
2026-07-30 17:15:17,57000,3196679
2026-07-30 17:15:22,53000,3247448
2026-07-30 17:15:27,54000,3202290
2026-07-30 17:15:32,54000,3199998
2026-07-30 17:15:37,53000,3200005
2026-07-30 17:15:43,53000,3199998
2026-07-30 17:15:48,53000,3199998
2026-07-30 17:15:53,53000,3200001
2026-07-30 17:15:58,53000,3200000
2026-07-30 17:16:03,52000,3500000
2026-07-30 17:16:08,51000,3200000
2026-07-30 17:16:13,50000,3200000
2026-07-30 17:16:18,49000,3200000
2026-07-30 17:16:23,50000,3200000
2026-07-30 17:16:28,52000,3199775
2026-07-30 17:16:33,50000,3200003
2026-07-30 17:16:38,50000,3199926
2026-07-30 17:16:43,52000,3300079
2026-07-30 17:16:48,52000,3562556
2026-07-30 17:16:53,50000,3950550
2026-07-30 17:16:58,49000,3952129
2026-07-30 17:17:03,49000,3200000
2026-07-30 17:17:08,45000,3957546
2026-07-30 17:17:13,44000,3967678
2026-07-30 17:17:18,43000,3956518
2026-07-30 17:17:23,43000,3984426
2026-07-30 17:17:28,47000,3200001
2026-07-30 17:17:34,49000,3199988
2026-07-30 17:17:39,49000,3200001
2026-07-30 17:17:44,50000,3199991
2026-07-30 17:17:49,51000,3200000
2026-07-30 17:17:54,51000,3199549
2026-07-30 17:17:59,50000,3200327
2026-07-30 17:18:04,49000,3300119
2026-07-30 17:18:09,51000,3200000
2026-07-30 17:18:14,49000,3200336
2026-07-30 17:18:19,49000,3199991
2026-07-30 17:18:24,51000,3200000
2026-07-30 17:18:29,50000,3200000
2026-07-30 17:18:34,49000,3200088
2026-07-30 17:18:39,50000,3199187
2026-07-30 17:18:44,48000,3259207
2026-07-30 17:18:49,49000,3982836
2026-07-30 17:18:54,45000,3954868
2026-07-30 17:18:59,49000,3199976
2026-07-30 17:19:04,45000,3964370
2026-07-30 17:19:09,44000,3965323
2026-07-30 17:19:14,45000,3959330
2026-07-30 17:19:19,43000,3200001
2026-07-30 17:19:25,48000,3200000
2026-07-30 17:19:30,49000,3200000
2026-07-30 17:19:35,51000,3200000
2026-07-30 17:19:40,51000,3200011
2026-07-30 17:19:45,51000,3200004
2026-07-30 17:19:50,51000,3200000
2026-07-30 17:19:55,51000,3200000
2026-07-30 17:20:00,51000,3200000
2026-07-30 17:20:05,51000,3200000
2026-07-30 17:20:10,51000,3200000
2026-07-30 17:20:15,51000,3200000
2026-07-30 17:20:20,51000,3199835
2026-07-30 17:20:25,51000,3198961
2026-07-30 17:20:30,50000,3600000
2026-07-30 17:20:35,48000,4000000
2026-07-30 17:20:40,46000,4000055
2026-07-30 17:20:45,45000,3971553
2026-07-30 17:20:50,45000,3200000
2026-07-30 17:20:56,47000,3966681
2026-07-30 17:21:01,48000,3964335
2026-07-30 17:21:06,43000,3967473
2026-07-30 17:21:11,45000,3972307
2026-07-30 17:21:16,43000,3960957
2026-07-30 17:21:21,47000,3200000
2026-07-30 17:21:26,48000,3200001
2026-07-30 17:21:31,49000,3200000
2026-07-30 17:21:36,51000,3200016
2026-07-30 17:21:41,51000,3200011
2026-07-30 17:21:46,51000,3200892
2026-07-30 17:21:51,51000,3200000
2026-07-30 17:21:56,50000,3200080
2026-07-30 17:22:01,51000,3198548
2026-07-30 17:22:06,50000,3200110
2026-07-30 17:22:11,51000,3200334
2026-07-30 17:22:16,51000,3199918
2026-07-30 17:22:21,51000,3198355
2026-07-30 17:22:26,50000,3599910
2026-07-30 17:22:31,47000,3962147
2026-07-30 17:22:36,46000,3484815
2026-07-30 17:22:41,45000,3968554
2026-07-30 17:22:46,45000,3200000
2026-07-30 17:22:52,48000,3197298
2026-07-30 17:22:57,44000,3967784
2026-07-30 17:23:02,43000,3948619
2026-07-30 17:23:07,43000,3295892
2026-07-30 17:23:12,45000,3200004
2026-07-30 17:23:17,48000,3200000
2026-07-30 17:23:22,49000,3199999
2026-07-30 17:23:27,50000,3200001
2026-07-30 17:23:32,50000,3200001
2026-07-30 17:23:37,51000,3199999
2026-07-30 17:23:42,50000,3199903
2026-07-30 17:23:47,49000,3600000
2026-07-30 17:23:52,49000,3209259
2026-07-30 17:23:57,49000,3198209
2026-07-30 17:24:02,49000,3200000
2026-07-30 17:24:07,50000,3199999
2026-07-30 17:24:12,50000,3200000
2026-07-30 17:24:17,52000,3199911
2026-07-30 17:24:22,51000,3199998
2026-07-30 17:24:27,50000,3300069
2026-07-30 17:24:32,49000,3562181
2026-07-30 17:24:37,46000,3658904
2026-07-30 17:24:43,46000,3200000
2026-07-30 17:24:48,48000,3968287
2026-07-30 17:24:53,46000,3975629
2026-07-30 17:24:58,44000,3966774
2026-07-30 17:25:03,44000,3998554
2026-07-30 17:25:08,43000,3976629
2026-07-30 17:25:13,48000,3200001
2026-07-30 17:25:18,50000,3200001
2026-07-30 17:25:23,51000,3200000
2026-07-30 17:25:28,52000,3200000
2026-07-30 17:25:33,52000,3200000
