Timestamp,Temp_mC,Freq_kHz
2026-03-23 16:00:26,34000,1294003
2026-03-23 16:00:32,46000,2793145
2026-03-23 16:00:37,47000,2793148
2026-03-23 16:00:42,49000,2793148
2026-03-23 16:00:47,50000,2793148
2026-03-23 16:00:52,51000,2793149
2026-03-23 16:00:57,52000,2793147
2026-03-23 16:01:02,53000,2793147
2026-03-23 16:01:07,54000,2793147
2026-03-23 16:01:12,54000,2793150
2026-03-23 16:01:18,55000,2793150
2026-03-23 16:01:23,56000,2793147
2026-03-23 16:01:28,57000,2793148
2026-03-23 16:01:33,56000,2768310
2026-03-23 16:01:38,53000,2597895
2026-03-23 16:01:43,54000,2600329
2026-03-23 16:01:48,54000,2603116
2026-03-23 16:01:53,54000,2563793
2026-03-23 16:01:58,55000,2582373
2026-03-23 16:02:04,55000,2581988
2026-03-23 16:02:09,56000,2622523
2026-03-23 16:02:14,56000,2547580
2026-03-23 16:02:19,56000,2585017
2026-03-23 16:02:24,56000,2556374
2026-03-23 16:02:29,56000,2540706
2026-03-23 16:02:34,58000,2769082
2026-03-23 16:02:39,59000,2793148
2026-03-23 16:02:44,60000,2793147
2026-03-23 16:02:50,60000,2793147
2026-03-23 16:02:55,61000,2793147
2026-03-23 16:03:00,62000,2793148
2026-03-23 16:03:05,61000,2793148
2026-03-23 16:03:10,61000,2793147
2026-03-23 16:03:15,62000,2793146
2026-03-23 16:03:20,62000,2770266
2026-03-23 16:03:25,62000,2793149
2026-03-23 16:03:31,62000,2793148
2026-03-23 16:03:36,62000,2793147
2026-03-23 16:03:41,64000,2793148
2026-03-23 16:03:46,63000,2793147
2026-03-23 16:03:51,64000,2793148
2026-03-23 16:03:56,64000,2793148
2026-03-23 16:04:01,64000,2754983
2026-03-23 16:04:06,62000,2743819
2026-03-23 16:04:11,63000,2723433
2026-03-23 16:04:16,64000,2793149
2026-03-23 16:04:22,63000,2687372
2026-03-23 16:04:27,65000,1917024
2026-03-23 16:04:32,64000,2665373
2026-03-23 16:04:37,55000,1633050
2026-03-23 16:04:42,52000,1868561
2026-03-23 16:04:47,52000,1223009
2026-03-23 16:04:52,54000,2394128
2026-03-23 16:04:57,56000,2394127
2026-03-23 16:05:02,56000,2394127
2026-03-23 16:05:07,56000,2417304
2026-03-23 16:05:12,56000,2584109
2026-03-23 16:05:17,56000,2414707
2026-03-23 16:05:23,55000,2420942
2026-03-23 16:05:28,56000,2394128
2026-03-23 16:05:33,57000,2517329
2026-03-23 16:05:38,57000,2420997
2026-03-23 16:05:43,57000,2453369
2026-03-23 16:05:48,56000,2421555
2026-03-23 16:05:53,60000,2793150
2026-03-23 16:05:58,63000,2625116
2026-03-23 16:06:03,63000,2793149
2026-03-23 16:06:09,64000,2614279
2026-03-23 16:06:14,64000,2793147
2026-03-23 16:06:19,65000,2793147
2026-03-23 16:06:24,55000,1756594
2026-03-23 16:06:29,65000,2793148
2026-03-23 16:06:34,65000,2793146
2026-03-23 16:06:39,66000,2750505
2026-03-23 16:06:44,66000,2773657
2026-03-23 16:06:49,66000,2772171
2026-03-23 16:06:54,66000,2547451
2026-03-23 16:06:59,63000,2766950
2026-03-23 16:07:04,62000,2685112
2026-03-23 16:07:10,62000,2631935
2026-03-23 16:07:15,62000,2644695
2026-03-23 16:07:20,62000,2645093
2026-03-23 16:07:25,62000,2637852
2026-03-23 16:07:30,62000,2482181
2026-03-23 16:07:35,64000,2760084
2026-03-23 16:07:40,64000,2695720
2026-03-23 16:07:45,63000,2674860
2026-03-23 16:07:51,64000,2696245
2026-03-23 16:07:56,62000,2493380
2026-03-23 16:08:01,65000,2793147
2026-03-23 16:08:06,64000,2619422
2026-03-23 16:08:11,62000,2451106
2026-03-23 16:08:16,63000,2513371
2026-03-23 16:08:21,64000,2584158
2026-03-23 16:08:26,62000,2446513
2026-03-23 16:08:31,64000,2793147
2026-03-23 16:08:36,64000,2548431
2026-03-23 16:08:41,62000,2730879
2026-03-23 16:08:47,62000,2686271
2026-03-23 16:08:52,62000,2450105
2026-03-23 16:08:57,62000,2451616
2026-03-23 16:09:02,64000,2654731
2026-03-23 16:09:07,65000,2686262
2026-03-23 16:09:12,65000,2394127
2026-03-23 16:09:17,64000,2588312
2026-03-23 16:09:22,67000,2793149
2026-03-23 16:09:28,66000,2747663
2026-03-23 16:09:33,65000,2793149
2026-03-23 16:09:38,66000,2568656
2026-03-23 16:09:43,67000,2793148
2026-03-23 16:09:48,67000,2778027
2026-03-23 16:09:53,67000,2716447
2026-03-23 16:09:58,68000,2793149
2026-03-23 16:10:03,66000,2793147
2026-03-23 16:10:08,67000,2793146
2026-03-23 16:10:13,68000,2793150
2026-03-23 16:10:18,67000,2793148
2026-03-23 16:10:24,69000,2793148
2026-03-23 16:10:29,68000,2793149
2026-03-23 16:10:34,65000,2793148
